extracted_name,fixed_name,region,fixed,incorrect_or_ambiguous,country,stemmed_name
Kuolemojörvellä,Kuolemajärvi,,x,,,kuolemojörv
Kuoleruajärvellä,Kuolemajärvi,,x,,,kuoleruajärv
Kuoli,Kuoli,,,x,,kuoli
kuollut,kuollut,,,x,,kuolu
kuollut v,kuollut v,,,x,,kuollut v
Kuolomajär-vi,Kuolemajärvi,,x,,,kuolomajär-v
Kuolomajärvollä,Kuolemajärvi,,x,,,kuolomajärvo
Kuonane,Kuonane,,x,,,kuonan
Kuopion mlk,Kuopion mlk,,x,,,kuopion mlk
Kuopiossa,Kuopio,,x,,,kuopio
Kuore,Kuore,,,x,,kuore
Kuore-vesi,Kuorevesi,other,x,,,kuore-v
Kuorevedellä,Kuorevesi,,x,,,kuoreved
Kuorevesi,Kuorevesi,,x,,,kuorev
Kuorit,Kuorit,,,,,kuori
Kupavitsa,Kupanitsa,karelia,x,,,kupavits
Kuppio,Kuppio,,x,,,kupio
Kur,Kur,,,x,,kur
Kur kijoki,Kurkijoki,,x,,,kur kijok
Kurikkalassa,Kurikkala,,x,,,kurikkal
Kurjamaa,Kurjamaa,,x,,,kurjam
Kurki,Kurki,,,x,,kurk
Kurki joki,Kurkijoki,,x,,,kurki jok
Kurkiioki,Kurkijoki,,x,,,kurkiiok
Kurkijeolla,Kurkijoki,,x,,,kurkijeo
Kurkijgella,Kurkijoki,,x,,,kurkijg
Kurkijo ki,Kurkijoki,,x,,,kurkijo k
KurkijoeJIa,Kurkijoki,,x,,,kurkijoej
Kurkijoel,Kurkijoki,,x,,,kurkijoel
Kurkijoella,Kurkijoki,,x,,,kurkijoe
KurkijoellaAsuin,Kurkijoki,,x,x,,kurkijoellaasu
KurkijoellaAsuinp,Kurkijoki,,x,x,,kurkijoellaasuinp
KurkijoellaAvioit,Kurkijoki,,x,x,,kurkijoellaavioi
KurkijoellaPuol,Kurkijoki,,x,x,,kurkijoellapuol
Kurkijok,Kurkijoki,,x,,,kurkijok
Kurkijoki k,Kurkijoki,,x,,,kurkijoki k
Kurkijoolla,Kurkijoki,,x,,,kurkij
Kurkljoolla,Kurkijoki,,x,,,kurklj
Kuruvedellä,Kuruvesi,,x,,,kuruved
Kustisissa,Kustinen,,x,,,kustis
Kuu,Kuu,,,x,,kuu
Kuu sankoski,Kuusankoski,,x,,,kuu sankosk
Kuu-järvi,Kuujärvi,,x,,,kuu-järv
Kuuraa,Kuuraa,,,x,,kuura
Kuurin-saari,Kuurinsaari,karelia,x,,,kuurin-saar
Kuus,Kuus,,,x,,kuus
Kuus-joki,Kuusjoki,,x,,,kuus-jok
Kuusa,Kuusa,,,x,,kuusa
Kuusamossa,Kuusamo,,x,,,kuusamo
Kuusamosssa,Kuusamo,,x,,,kuusamos
Kuusan koski,Kuusankoski,,x,,,kuusan kosk
Kuusankos ki,Kuusankoski,,x,,,kuusankos k
Kuusjär,Kuusjärvi,,x,,,kuusjär
Kuusjärveliä,Kuusjärvi,,x,,,kuusjärvel
Kuusjärvellä,Kuusjärvi,,x,,,kuusjärv
Kuusjärvi Rouva Toikke-lin sisar Emma Rautio o,Kuusjärvi,,x,x,,kuusjärvi rouva toikke-lin sisar emma rautio o
Kuusjärvollä,Kuusjärvi,,x,,,kuusjärvo
Kuusjo ki,Kuusjoki,,x,,,kuusjo k
Kuusjo-ki,Kuusjoki,,x,,,kuusjo-k
Kuusjoella,Kuusjoki,,x,,,kuusjoe
Kuusjoolla,Kuusjoki,,x,,,kuusj
Kuuusankoski,Kuusankoski,,x,,,kuuusankosk
Kuvennavalla,Kivennapa,,x,,,kuvennav
Ky mi,Kymi,,x,,,ky m
KyI mäkoski,KyImäkoski,,x,,,kyi mäkosk
Kylmä-koski,KyImäkoski,,x,,,kylmä-kosk
Kymi,Kymi,other,x,,,kymi
Kymi as,Kymi,,x,,,kymi as
Kymiss,Kymi,,x,,,kymis
Kytäjäss,Kytäjä,other,x,,,kytäjäs
Kyyrölä,Kyyrölä,karelia,x,,,kyyröl
Kyyrölässä ja Vasili synt,Kyyrölä,,x,x,,kyyrölässä ja vasili synt
l,l,,,x,,l
l ahti,l ahti,,,x,,l aht
La,La,,,x,,la
La pua,Lapua,other,x,,,la pu
Laappeenranta,Lappeenranta,,x,,,laappeenran
Laatokan koillispuolella,Laatokka,karelia,x,,,laatokan koillispuol
Lägelmäellä,Längelmäki,,x,,,lägelmäe
Lah dessa,Lahti,,x,,,lah d
Lah ti,Lahti,,x,,,lah t
Lah-denpohja,Lahdenpohja,,x,,,lah-denpohj
Lahdcnpohja,Lahdenpohja,,x,,,lahdcnpohj
Lahden-pohja,Lahdenpohja,,x,,,lahden-pohj
Lahdenpbhjassa,Lahdenpohja,,x,,,lahdenpbhj
Lahdenpohjalla,Lahdenpohja,,x,,,lahdenpohj
Lahdenpohjas,Lahdenpohja,,x,,,lahdenpohjas
Lahdenpötija,Lahdenpohja,,x,,,lahdenpötij
Lahdes,Lahti,other,x,,,lahdes
Lahtf,Lahti,,x,,,lahtf
Lahti,Lahti,,x,,,laht
Lahti Äsuinp,Lahti,,x,,,lahti äsuinp
Lahti k,Lahti,,x,,,lahti k
Lahti Lapset ovat rouvan I avioliitosta,Lahti,,x,x,,lahti lapset ovat rouvan i avioliito
Lahti Nykyisestä avioliitosta Edellisestä avioliitosta,Lahti,,x,x,,lahti nykyisestä avioliitosta edellisestä avioliito
Lahti toisesta avioliitosta,Lahti,,x,x,,lahti toisesta avioliito
Laihialla,Laihia,other,x,,,laihia
Lailila,Lailila,,x,,,lailil
Laiti,Laitila,,x,,,laiti
Laiti-la,Laitila,,x,,,laiti-l
Laitilassa,Laitila,,x,,,laitil
Laitisen,Laitisen,,,x,,laitis
Län gelmäki,Längelmäki,,x,,,län gelmäk
Längelämäki,Längelmäki,,x,,,längelämäk
Längelmäellä,Längelmäki,,x,,,längelmäe
Längelmäki,Längelmäki,other,x,,,längelmäk
Länsi-Saksa,Länsi-Saksa,,x,,germany,länsi-saks
Lanskajalla,Lanskaja,,x,,,lanskaj
Lap pee,Lappee,,x,,,lap p
Lap Peenranta,Lappeenranta,,x,,,lap peenran
Lap poanranta,Lappeenranta,,x,,,lap poanran
Lap-väärtti,Lapväärtti,other,x,,,lap-väärt
Lapiioella,Lapiioella,,,x,,lapiioe
Lapiniahdella,Lapinlahti,,x,,,lapiniahd
Lapinjärvell,Lapinjärvi,other,x,,,lapinjärvel
Lapinlahdella,Lapinlahti,,x,,,lapinlahd
Lapinlahti,Lapinlahti,other,x,,,lapinlaht
Lapjjeella,Lappee,,x,,,lapj
Läppä,Läppä,,,x,,läp
Läppä järvi,Läppäjärvi,karelia,x,,,läppä järv
Läppäämän ta,Läppäämän ta,,,x,,läppäämän
Lappaanrannassa,Lappeenranta,,x,,,lappaanran
Lappajärvel,Lappajärvi,,x,,,lappajärvel
Lappajarvellä,Lappajärvi,,x,,,lappajarv
Lappealla,Lappee,,x,,,lapea
Lappeen ranta,Lappeenranta,,x,,,lappeen ran
Lappeenran ta,Lappeenranta,,x,,,lappeenran
Lappeenrannas,Lappeenranta,,x,,,lappeenrannas
Lappeenrannassa,Lappeenranta,,x,,,lappeenran
LappeenrannassaP,Lappeenranta,,x,,,lappeenrannassap
Lappeenranta k,Lappeenranta,,x,,,lappeenranta k
Lappeenranta Lapset ovat Erkki Vesan edellisestä avioliitosta,Lappeenranta,,x,x,,lappeenranta lapset ovat erkki vesan edellisestä avioliito
Lappeenranta Rouvan edellisestä avioliitosta,Lappeenranta,,x,x,,lappeenranta rouvan edellisestä avioliito
Lappeessa,Lappee,,x,,,lap
Lappenran-ta,Lappeenranta,,x,,,lappenran-
Lappi TLssä,Lappi TL,,x,,,lappi tl
Lapppeenranta,Lappeenranta,,x,,,lapppeenran
Lapset ovat Martta Sihvon ensimmäisestä avioliitosta,Lapset ovat Martta Sihvon ensimmäisestä avioliitosta,,,x,,lapset ovat martta sihvon ensimmäisestä avioliito
Lapträskissä,Lapträsk,,x,,,lapträsk
Lapualla,Lapua,,x,,,lapua
Lapväärt-ti,Lapväärtti,,x,,,lapväärt-t
LapvaÖrtissä,LapvaÖrtissä,,,x,,lapvaört
Larpmilla,Larpmilla,,,x,,larpm
Läskelä,Läskelä,karelia,x,,,läskel
Laskelässä,Läskelä,,x,,,laskel
lasta,lasta,,,x,,las
Latvialla,Latvialla,,,x,,latvia
Lau ritsala,Lauritsala,other,x,,,lau ritsal
Lau-ritsala,Lauritsala,,x,,,lau-ritsal
LaUa eenranta,LaUa eenranta,,,x,,laua eenran
Laukaalla,Laukaa,other,x,,,lauka
Laumivaarassa,Lumivaara,,x,,,laumivaar
Laupalla,Laupalla,,,x,,laupa
Laurit-sala,Lauritsala,,x,,,laurit-sal
Lauritsa la,Lauritsala,,x,,,lauritsa l
Lauritsa-la,Lauritsala,,x,,,lauritsa-l
Lauritsalassa,Lauritsala,,x,,,lauritsal
Lauritsald,Lauritsala,,x,,,lauritsald
Lavan saari,Lavansaari,,x,,,lavan saar
Lavansaa,Lavansaari,,x,,,lavans
Lavansaarela,Lavansaari,,x,,,lavansaarel
LavansaarellaPuo,Lavansaari,,x,,,lavansaarellapuo
Lavialla,Lavia,,x,,,lavia
Lavijärvellä,Lavijärvi,,x,,,lavijärv
Lavolassa,Lavola,,x,,,lavol
Lehmäjoella,Lehmäjoki,,x,,,lehmäjoe
Lehmussa,Lehmu,,x,,,lehmu
Lehtimäessä,Lehtimäki,,x,,,lehtimäe
Lehtimäki,Lehtimäki,other,x,,,lehtimäk
Leimulla,Leimu,,x,,,leimu
LeivonmäeJIä,Leivonmäki,,x,,,leivonmäej
Leivonmäessä,Leivonmäki,,x,,,leivonmäe
Leivonmäki Pauli Sirenin sisko,Leivonmäki,,x,,,leivonmäki pauli sirenin sisko
Lem pääiä,Lempäälä,,x,,,lem pääiä
Lem päälä,Lempäälä,,x,,,lem pääl
Lemi,Lemi,other,x,,,lemi
Lemillä,Lemi,,x,,,lem
Lempäälässä,Lempäälä,,x,,,lempääl
LempaalassaAs,Lempäälä,,x,,,lempaalassaas
Lempalassa,Lempäälä,,x,,,lempal
Leningrad,Leningrad,karelia,x,,,leningrad
Leppäkoski,Leppäkoski,other,x,,,leppäkosk
Leppäselällä,Leppäselkä,,x,,,leppäsel
Leppäsillalla,Leppäsilta,,x,,,leppäsil
Leppäsyrjä,Leppäsyrjä,karelia,x,,,leppäsyrj
Leppävir ta,Leppävirta,,x,,,leppävir
Leppävirrall,Leppävirta,,x,,,leppävirral
Lestijärveliä,Lestijärvi,,x,,,lestijärvel
Lestijarvella,Lestijärvi,,x,,,lestijarv
li,li,other,x,,,li
li salmi,lisalmi,other,x,,,li salm
Lie,Lie,,,x,,lie
Liedossa,Lieto,,x,,,liedo
Liejo,Lieto,,x,,,liejo
Lieksassa,Lieksa,,x,,,lieks
Lievissä,Lievi,,x,,,liev
liikenneonnettomuuden uhrina Ruskolla,liikenneonnettomuuden uhrina Ruskolla,,,x,,liikenneonnettomuuden uhrina rusko
liikenneonnettomuudessa,liikenneonnettomuudessa,,,x,,liikenneonnettomuud
Liikolassa,Liikola,,x,,,liikol
Liito-la,Liitola,,x,,,liito-l
Lil-jendahl,Liljendahl,,x,,,lil-jendahl
Limingassa,Liminka,,x,,,liming
Lioto,Lieto,,x,,,lioto
Liperillä,Liperi,,x,,,liper
lisal mi,lisalmi,,x,,,lisal m
lisälmi,lisalmi,,x,,,lisälm
Lismajärvellä,Lismajärvi,karelia,x,,,lismajärv
Lissabon,Lissabon,other,x,,portugal,lissabo
lit ti,litti,,x,,,lit t
littij,litti,,x,,,littij
littj,litti,,x,,,littj
Littoisissa,Littoinen,other,x,,,littois
llmajo ki,llmajoki,,x,,,llmajo k
Lo,Lo,,,x,,lo
Loh,Loh,,,x,,loh
Loh jän mlk,Lohjan mlk,,x,,,loh jän mlk
Lohja mlk,Lohjan mlk,,x,,,lohja mlk
Lohjan mlk,Lohjan mlk,,x,,,lohjan mlk
Lohta ja Rouvan ensimmäisestä avioliitosta,Lohja,,x,x,,lohta ja rouvan ensimmäisestä avioliito
Loi,Loi,,,x,,loi
Loi maa,Loimaa,,x,,,loi m
Loi-maa,Loimaa,,x,,,loi-m
Loimaalla,Loimaa,,x,,,loima
Loimaan mlk,Loimaan mlk,,x,,,loimaan mlk
Loimola,Loimola,,x,,,loimol
Loimu-la,Loimula,,x,,,loimu-l
Lokalahdella,Lokalahti,other,x,,,lokalahd
Lompäälä,Lempäälä,,x,,,lompääl
Lop pi,Loppi,,x,,,lop p
Lopelia,Loppi,,x,,,lopel
Lopella,Loppi,,x,,,lope
Lounais-Afrik-ka,Lounais-Afrikka,other,x,,africa,lounais-afrik-k
LounaisAfrikass,Lounais-Afrikka,other,x,,,lounaisafrikas
Loviisassa,Loviisa,other,x,,,loviis
Lovijsa,Loviisa,,x,,,lovijs
Lu,Lu,,,x,,lu
Lu mivaara,Lumivaara,,x,,,lu mivaar
Lu-mivaara,Lumivaara,,x,,,lu-mivaar
Luhangassa,Luhanka,other,x,,,luhang
Lumi,Lumi,,,x,,lumi
Lumijoella,Lumijoki,,x,,,lumijoe
Lumivaa,Lumivaara,,x,,,lumiv
Lumivaaras,Lumivaara,,x,,,lumivaaras
Lumivaarassa,Lumivaara,,x,,,lumivaar
Luo,Luo,,,x,,luo
Luonet-järvi,Luonetjärvi,,x,,,luonet-järv
Luonn,Luonn,,,x,,luon
Luopioisissa,Luopioinen,other,x,,,luopiois
Lupasalmella,Lupasalmi,karelia,x,,,lupasalm
Luu,Luu,,,x,,luu
Luu-mäki,Luumäki,,x,,,luu-mäk
Luumä ki,Luumäki,,x,,,luumä k
Luumäki,Luumäki,other,x,,,luumäk
Luvialla,Luvia,,x,,,luvia
Lyökissä,Lyökki,other,x,,,lyök
M uolaa,Muolaa,,x,,,m uola
Maa,Maa,,,x,,maa
Maa vehmaa,Maavehmaa,,x,,,maa vehm
Maalahdella,Maalahti,other,x,,,maalahd
Maalaini,Maalaini,,,x,,maalai
Maaningalla,Maaninka,other,x,,,maaning
Maaninka,Maaninka,,x,,,maanink
Maarianhaminassa,Maarianhamina,,x,,,maarianhamin
Maariassa,Maaria,,x,,,maaria
Maaselällä,Maaselkä,,x,,,maasel
Makslahdella,Makslahti,karelia,x,,,makslahd
Makslahti,Makslahti,karelia,x,,,makslaht
Maksu,Maksu,,,,,maksu
Mälkkölä,Mälkkölä,karelia,x,,,mälkköl
Mälkylä,Mälkylä,,x,,,mälkyl
Män,Män,,,x,,män
Mändel,Mändel,,,x,,mändel
Mänt sälä,Mäntsälä,other,x,,,mänt säl
Mänt-sälä,Mäntsälä,,x,,,mänt-säl
Mant-si,Mantsi,,x,,,mant-
Mäntsä,Mäntsälä,,x,,,mänts
Mäntsä iä,Mäntsälä,,x,,,mäntsä iä
Mäntsäfassä,Mäntsälä,,x,,,mäntsäf
Mäntsäiässä,Mäntsälä,,x,,,mäntsäiä
Mantsälässä,Mäntsälä,,x,,,mantsäl
Mäntsalässä,Mäntsälä,,x,,,mäntsal
Mantsi,Mantsi,karelia,x,,,mant
Mantsin,Mantsi,,x,,,mants
Mänty-harju,Mäntyharju,,x,,,mänty-harju
Mäntyhar,Mäntyharju,,x,,,mäntyhar
Mäntyharjul,Mäntyharju,,x,,,mäntyharjul
Mäntyharjussa,Mäntyharju,,x,,,mäntyharju
MäntyhBrjulla,Mäntyharju,,x,,,mäntyhbrju
Mäntyluodossa,Mäntyluoto,,x,,,mäntyluodo
Mäntyselällä,Mäntyselkä,,x,,,mäntysel
Maria IssakainenSoanlahti,Maria IssakainenSoanlahti,,,x,,maria issakainensoanlaht
Mariassa,Maria,,x,,,maria
Mariussa,Mariussa,,,x,,mariu
Marlussa,Marlussa,,,x,,marlu
Martinniemi,Martinniemi,other,x,,,martinniem
Marttila,Marttila,other,x,,,marttil
Marttila Tl,Marttila,,x,,,marttila tl
Matarengissä,Matarenki,other,x,,,matareng
Matkalammella,Matkalampi,other,x,,,matkalam
Matkaselkä,Matkaselkä,karelia,x,,,matkaselk
Matkoselkä,Matkaselkä,,x,,,matkoselk
MausjÖrvellä,Mausjärvi,,x,,,mausjörv
Maxmossa,Maxmo,,x,,,maxmo
Mcrikar via,Merikarvia,,x,,,mcrikar v
Mct,Mct,,,x,,mct
Me,Me,,,x,,me
Meisämaalla,Meisämaalla,,,x,,meisäm
Meisäpinti,Meisäpinti,,,x,,meisäpint
Melli-lä,Mellilä,,x,,,melli-l
Melsäpirtti,Metsäpirtti,,x,,,melsäpirt
MerijarvelJä,Merijärvi,,x,,,merijarvelj
Merijoella,Merijoki,,x,,,merijoe
Merikarvialla,Merikarvia,,x,,,merikarvia
Met,Met,,,x,,met
Met säpirtti,Metsäpirtti,,x,,,met säpirt
Metäspirtillä,Metsäpirtti,,x,,,metäspirt
Metsä,Metsä,,,x,,mets
Metsä maa,Metsämaa,,x,,,metsä m
Metsä pirtti,Metsäpirtti,,x,,,metsä pirt
Metsä-massa,Metsämaa,,x,,,metsä-m
Metsäkylä,Metsäkylä,,x,,,metsäkyl
Metsäpir,Metsäpirtti,,x,,,metsäpir
Metsäpirt ti,Metsäpirtti,,x,,,metsäpirt t
Metsäpirtiliä,Metsäpirtti,,x,,,metsäpirtil
MetsäpirtilläAsu,Metsäpirtti,,x,,,metsäpirtilläasu
MetsäpirtilläKaa,Metsäpirtti,,x,,,metsäpirtilläk
MetsäpirtilläPuol,Metsäpirtti,,x,,,metsäpirtilläpuol
Metsäpirtti k,Metsäpirtti,,x,,,metsäpirtti k
MichiganissaU,Michigan,,x,,usa,michiganisau
mie,mie,,,x,,mie
Mie hikkälä,Miehikkälä,,x,,,mie hikkäl
Mie-hikkälä,Miehikkälä,,x,,,mie-hikkäl
miehen,miehen,,,x,,miehe
Miehen aikaisemmasta avioliitosta,Miehen aikaisemmasta avioliitosta,,,x,,miehen aikaisemmasta avioliito
Miehik kälä,Miehikkälä,other,x,,,miehik käl
MiehiK-kälä,Miehikkälä,,x,,,miehik-käl
Miehikkälä,Miehikkälä,,x,,,miehikkäl
Miehikkäläs,Miehikkälä,,x,,,miehikkäläs
Miehikkilässä,Miehikkälä,,x,,,miehikkil
Mieto-la,Mietola,,x,,,mieto-l
Mietoisissa,Mietoinen,,x,,,mietois
Mietoislssa,Mietoinen,,x,,,mietoisl
Mietolsissa,Mietoinen,,x,,,mietols
Miikkulaisissa,Miikkulainen,,x,,,miikkulais
Miitolassa,Miitolassa,,,x,,miitol
Mik,Mik,,,x,,mik
Mik-keli,Mikkeli,,x,,,mik-kel
Mikkelin mlk,Mikkelin mlk,,x,,,mikkelin mlk
Mikkelis,Mikkeli,,x,,,mikkelis
Mikköli,Mikkeli,,x,,,mikköl
Mikolassa,Mikola,,x,,,mikol
Miotoisissa,Mietoinen,,x,,,miotois
Mletoisissa,Mietoinen,,x,,,mletois
mol k,mol k,,,x,,mol k
Molax,Molax,,,,,molax
Molenskissa,Molensk,other,x,,Russia,molensk
Mönsälänkylä,Mönsälänkylä,,x,,,mönsälänkyl
Morimaskusss,Morimaskusss,,,x,,morimaskuss
Moskovan,Moskova,other,x,,Russia,moskov
Mou hijärvi,Mouhijärvi,other,x,,,mou hijärv
Mou-hijärvi,Mouhijärvi,,x,,,mou-hijärv
Mouhijarvellä,Mouhijärvi,,x,,,mouhijarv
Mouhijätvi,Mouhijärvi,,x,,,mouhijätv
Mu,Mu,,,x,,mu
Muhoksella,Muhos,other,x,,,muhoks
Mul-tia,Multia ,other,x,,,mul-t
Multialla,Multia ,,x,,,multia
Muo,Muo,,,x,,muo
Muo laa,Muolaa,,x,,,muo l
Muo-laa,Muolaa,,x,,,muo-l
Muofaassa,Muolaa,,x,,,muofa
Muoiaassa,Muolaa,,x,,,muoiaas
MuoInassa,MuoInassa,,,x,,muoina
MuoIqgssa,MuoIqgssa,,,x,,muoiqg
Muola,Muolaa,,x,,,muola
Muolaa k,Muolaa,karelia,x,,,muolaa k
Muolaa Rouvan ensimmäisestä avioliitosta,Muolaa,,x,x,,muolaa rouvan ensimmäisestä avioliito
Muolaaasa,Muolaa,,x,,,muolaaas
Muolaas,Muolaa,,x,,,muolaas
Muolaässa,Muolaa,,x,,,muolaä
Muölaassa,Muolaa,,x,,,muöla
Muolaassa ja Aarno Juhani,Muolaa,,x,x,,muolaassa ja aarno juh
MuolaassaAsui,Muolaa,,x,,,muolaassaasui
MuolaassaAsuinp,Muolaa,,x,,,muolaassaasuinp
MuolaassaPuol,Muolaa,,x,,,muolaassapuol
Muolaasso,Muolaa,,x,,,muolaaso
Muolaessa,Muolaa,,x,,,muolae
Muolanssa,Muolaa,,x,,,muolan
Muolasssa,Muolaa,,x,,,muolas
Muolgassa,Muolaa,,x,,,muolg
Muoloas,Muolaa,,x,,,muoloas
Muoloassa,Muolaa,,x,,,muoloa
Muonassa,Muolaa,,x,,,muona
Muotaassa,Muolaa,,x,,,muota
Muotoa,Muotoa,,,x,,muoto
Musta,Musta,,,x,,mus
Musta-saari,Mustasaari,,x,,,musta-saar
Mustallamerel-lä,Mustameri,other,x,,Country on Black Sea,mustallamerel-l
Mustamäellä,Mustamäki,,x,,,mustamäe
Mustasaa ri,Mustasaari,other,x,,,mustasaa r
Mustinlahdalla,Mustilahti,other,x,,,mustinlahd
Muuraimessa,Muurame,other,x,,,muuraim
Muuru-vesi,Muuruvesi,other,x,,,muuru-v
Muuruvedellä,Muuruvesi,,x,,,muuruved
MuuruvedelläPuoL,Muuruvesi,,x,,,muuruvedelläpuol
Muuruvodellä,Muuruvesi,,x,,,muuruvod
Muut,Muut,,,x,,muut
My,My,,,x,,my
My nämäki,Mynämäki,other,x,,,my nämäk
Myllykoskella,Myllykoski,,x,,,myllykosk
Mynä mäki,Mynämäki,,x,,,mynä mäk
Mynämäessä,Mynämäki,,x,,,mynämäe
Mynämäollä,Mynämäki,,x,,,mynämäo
Myrskyissä,Myrskyissä,,,x,,myrsky
Myrskylä k,Myrskylä ,other,x,,,myrskylä k
Myslovvitzissä,Myslowitz,other,x,,poland,myslovvitz
Naant,Naantali ,other,x,,,naant
Naantä,Naantali,,x,,,naan
Naantalin mlk,Naantalin mlk,other,x,,,naantalin mlk
Nak kila,Nakkila,other,x,,,nak kil
Nämä,Nämä,,,x,,nämä
Nartussa,Narttu,,x,x,,nartu
Narva,Narva,other,x,,Estonia?,narv
Närväjoki,Närväjoki,,x,,,närväjok
Nasto la,Nastola  ,other,x,,,nasto l
Nastoja,Nastola  ,,x,,,nasto
Nastola Rouvan ensimmäisestä avioliitosta,Nastola  ,,x,x,,nastola rouvan ensimmäisestä avioliito
Nastölassa,Nastola  ,,x,,,nastöl
Ndrmijärvell,Nurmijärvi,other,x,,,ndrmijärvel
Neuvo,Neuvostoliitto,other,x,,,neuvo
Neuvostoliitto,Neuvostoliitto,,x,,Russia,neuvostoliito
New,New York,other,x,,,new
New York,New York,other,x,,USA,new york
Nie-miskoski,Niemiskoski,karelia,x,,,nie-miskosk
Nilsiässä,Nilsiä,other,x,,,nilsiä
Nivalassa,Nivala,other,x,,,nival
No,No,,,x,,no
No kia,Nokia,other,x,,,no k
Noantali,Naantali,other,x,,,noantal
Nokia Pietari Kymäläisen ensimmäisestä avioliitosta,Nokia,other,x,x,,nokia pietari kymäläisen ensimmäisestä avioliito
Nokialla,Nokia,,x,,,nokia
Noor markku,Noormarkku,other,x,,,noor marku
Nostola,Nastola  ,other,x,,,nostol
Nou siainon,Nousiainen,other,x,,,nou siaino
Nousiainen,Nousiainen,,x,,,nousiain
Nousiaisissa,Nousiainen,,x,,,nousiais
Nu,Nu,,,x,,nu
Nui,Nui,,,x,,nui
Nuij,Nuijamaa,,x,,,nuij
Nuija,Nuijamaa,,x,,,nuija
Nuija-maa,Nuijamaa,other,x,,,nuija-m
Nuijamaa k,Nuijamaa,,x,,,nuijamaa k
Nuijamaal,Nuijamaa,,x,,,nuijamaal
Nuijamaalja,Nuijamaa,,x,,,nuijamaalj
Nuijamaalla,Nuijamaa,,x,,,nuijam
Nuijanmaalla,Nuijamaa,,x,,,nuijanm
Nuijmaalla,Nuijamaa,,x,,,nuijm
Nukseksessa,Nukseksessa,,,x,,nukseks
Num mi,Nummi,other,x,,,num m
Nur,Nur,,,x,,nur
Nurm,Nurm,,,x,,nurm
Nurmeksen mlk,Nurmeksen mlk,other,x,,,nurmeksen mlk
Nurmeksessa,Nurmes  ,,x,,,nurmeks
Nurmes mlk,Nurmeksen mlk,other,x,,,nurmes mlk
Nurmi järvi,Nurmijärvi,other,x,,,nurmi järv
Nurmi-saari,Nurmisaari,other,x,,,nurmi-saar
Nurmijäri,Nurmijärvi,,x,,,nurmijär
NurmijärvelläA,Nurmijärvi,,x,,,nurmijärvel
Nurmijävi,Nurmijärvi,,x,,,nurmijäv
Nurmilahdella,Nurmilahti,,x,,,nurmilahd
Nurmoksessa,Nurmes,other,x,,,nurmoks
Nurmossa,Nurmo,other,x,,,nurmo
Nurmosssa,Nurmo,,x,,,nurmos
Ohiossa,Ohio,other,x,,USA,ohio
OI,OI,,,x,,oi
Ollikkalassa,Ollikkala,other,x,,,ollikkal
Ollilassa,Ollila,other,x,,,ollil
Olodetsissa,Olodets,,,x,,olodets
Oranienbaussa,Oranienbaum,other,x,,Russia,oranienbau
Oravai,Oravainen,other,x,,,oravai
Oravaisissa,Oravainen,,x,,,oravais
Oravikoski,Oravikoski,,x,,,oravikosk
Ori,Ori,,,x,,ori
Ori mattila,Orimattila,other,x,,,ori mattil
Ori vesi,Orivesi,other,x,,,ori v
Orima,Orimattila,,x,,,orim
Orimat tila,Orimattila,,x,,,orimat til
Orimatti,Orimattila,,x,,,orimat
Orimattila Ensimmäisestä avioliitosta,Orimattila,,x,x,,orimattila ensimmäisestä avioliito
Orimattilassa,Orimattila,,x,,,orimattil
Öripää,Oripää,,x,,,örip
Oripäössä,Oripää,,x,,,oripäö
Orivedellä,Orivesi,,x,,,orived
Orivesi,Orivesi,,x,,,oriv
Orlpää,Oripää,,x,,,orlp
Örmark,Örmark,,x,,,örmark
Otermassa,Oterma,,x,,,oterm
Oulainen Rouvan edellisestä avioliitosta,Oulainen,other,x,,,oulainen rouvan edellisestä avioliito
Oulaisissa,Oulainen,,x,,,oulais
Oulu Muut,Oulu,other,x,,,oulu mu
Oulujoella,Oulujoki,other,x,,,oulujoe
Oulunjoella,Oulujoki,other,x,,,oulunjoe
Outo kumpu,Outokumpu ,,x,,,outo kumpu
Outokummussa,Outokumpu ,,x,,,outokumu
Över-mark,Övermark,other,x,,,över-mark
Pa,Pa,,,x,,pa
Pa dasjoki,Padasjoki,other,x,,,pa dasjok
Paa-tio,Paatio,karelia,x,,,paa-tio
Paakkola,Paakkola,karelia,x,,,paakkol
Päällisissä,Päällinen,other,x,,,päällis
Paat-tinen,Paattinen,other,x,,,paat-tin
Paatio,Paatio,,x,,,paatio
Paatiosaarella,Paatio,,x,,,paatiosaar
Päättänen,Päättänen,,x,,,päättän
Paatti nen,Paattinen,other,x,,,paatti n
Paattisilla,Paattinen,,x,,,paattis
Padasjoella,Padasjoki,,x,,,padasjoe
Pähkinälinnassa,Pähkinälinna,,x,,,pähkinälin
Pai,Pai,,,x,,pai
Pai mio,Paimio,other,x,,,pai mio
Paimi,Paimio,,x,,,paimi
Paimios,Paimio,,x,,,paimios
Paimiossa tapaturman uhrina,Paimio,,x,x,,paimiossa tapaturman uhr
Pälärvissä,Pälkjärvi,karelia,x,,,pälärv
Pälkä ne,Pälkäne,other,x,,,pälkä n
Pälkä-ne,Pälkäne,,x,,,pälkä-n
Pälkäälä,Pälkäälä,,x,,,pälkääl
Pälkj,Pälkjärvi,,x,,,pälkj
Palkjär,Pälkjärvi,,x,,,palkjär
Pälkjärvel,Pälkjärvi,,x,,,pälkjärvel
